xs_id,distance_along_centerline_m,num_valid_points,elevation_range_m,max_slope_deg,distortion_risk
XS_0360,9000.0,100,11.444000000000074,68.8675734985827,low
XS_0361,9025.0,100,11.245999999999981,68.18356522419954,low
XS_0362,9050.0,100,8.95699999999988,59.638560952459116,low
XS_0363,9075.0,100,7.930999999999926,58.8677306907875,low
XS_0364,9100.0,100,5.600000000000023,58.21375857951942,low
XS_0365,9125.0,100,3.2530000000000427,37.497223517097616,low
XS_0366,9150.0,100,9.8900000000001,66.5921926506665,low
XS_0367,9175.0,100,9.800000000000068,66.59219265068697,low
XS_0368,9200.0,100,7.0,54.18952433978501,low
XS_0369,9225.0,100,7.02800000000002,54.111702158908095,low
XS_0370,9250.0,100,7.273000000000025,55.59610121700626,low
XS_0371,9275.0,100,5.488000000000056,61.09388486718326,low
XS_0372,9300.0,100,5.740000000000009,62.169200910130385,low
XS_0373,9325.0,100,9.483932147679752,71.49326560973043,low
XS_0374,9350.0,100,16.404252467776928,75.71342344075059,low
XS_0375,9375.0,100,16.167999999999893,75.71342344075046,low
XS_0376,9400.0,100,16.09999999999991,75.71342344073717,low
XS_0377,9425.0,100,16.09999999999991,72.81762793280387,low
XS_0378,9450.0,100,17.454812284575382,78.98632445447605,low
XS_0379,9475.0,100,14.991999999999962,78.06143337426032,low
XS_0380,9500.0,100,13.215000000000032,76.61533595542677,low
XS_0381,9525.0,100,12.030000000000086,75.86158579728999,low
XS_0382,9550.0,100,21.289999999999964,75.2255739284446,low
XS_0383,9575.0,100,20.61500000000001,74.34742260308857,low
XS_0384,9600.0,100,20.299999999999955,73.9018448128216,low
XS_0385,9625.0,100,25.199999999999932,76.47716912661588,low
XS_0386,9650.0,100,25.4079999999999,78.16889072469593,low
XS_0387,9675.0,100,26.17999999999995,78.13861192622822,low
XS_0388,9700.0,100,26.384000000000242,77.52403468611485,low
XS_0389,9725.0,100,10.500000000000114,73.90184481271895,low
XS_0390,9750.0,100,13.893020863112497,77.53489106681127,low
XS_0391,9775.0,100,18.573154527771976,77.79618901196814,low
XS_0392,9800.0,100,12.43553788984616,75.27188218805034,low
XS_0393,9825.0,100,11.200000000000045,72.81762793272848,low
XS_0394,9850.0,100,2.2680000000002565,34.72195926899288,low
XS_0395,9875.0,100,1.7300000000000182,29.72204593422617,low
XS_0396,9900.0,100,1.6579999999999018,28.6848330507412,low
XS_0397,9925.0,100,1.5860000000000127,27.62666062606581,low
XS_0398,9950.0,100,2.9140000000002146,26.547630612684877,low
XS_0399,9975.0,100,0.8740000000000236,16.08861917124707,low
XS_0400,10000.0,100,1.7000000000000455,18.314027195401962,low
XS_0401,10025.0,100,1.400000000000091,24.796937085429565,low
XS_0402,10050.0,100,3.33199999999988,45.78962284590749,low
XS_0403,10075.0,100,3.104000000000042,36.15261127481584,low
XS_0404,10100.0,100,2.645999999999958,34.72195926912948,low
XS_0405,10125.0,100,2.400000000000091,25.954502997136814,low
XS_0406,10150.0,100,2.1240000000000236,25.16977007824107,low
XS_0407,10175.0,100,2.616000000000213,39.2402313081056,low
XS_0408,10200.0,100,2.099999999999909,34.7219592690769,low
XS_0409,10225.0,100,1.8559999999999945,31.48663605842228,low
XS_0410,10250.0,100,0.8830000000000382,16.245594573452756,low
XS_0411,10275.0,100,0.8470000000002074,15.616209270359189,low
XS_0412,10300.0,100,0.8020000000001346,14.824023218077624,low
XS_0413,10325.0,100,0.7029999999999745,13.061007388116241,low
XS_0414,10350.0,100,14.0,77.7867234535416,low
XS_0415,10375.0,100,14.0,77.78672345356449,low
XS_0416,10400.0,100,9.100000000000023,66.59219265066884,low
XS_0417,10425.0,100,10.100000000000023,66.59219265062927,low
XS_0418,10450.0,100,10.100000000000023,66.59219265066923,low
XS_0419,10475.0,100,9.799999999999955,66.59219265066905,low
XS_0420,10500.0,100,9.948999999999842,66.68139386534658,low
XS_0421,10525.0,100,10.800000000000068,67.45617340760774,low
XS_0422,10550.0,100,10.979999999999905,67.9461103974609,low
XS_0423,10575.0,100,11.159999999999968,68.41620305704262,low
XS_0424,10600.0,100,10.5,66.5921926506277,low
XS_0425,10625.0,100,3.5,42.737933186194326,low
XS_0426,10650.0,100,3.437000000000012,46.009390081849354,low
XS_0427,10675.0,100,2.961820586070303,43.58656669827066,low
XS_0428,10700.0,100,22.399999999999977,82.29571919989952,low
XS_0429,10725.0,100,20.300000000000068,78.35203655798381,low
XS_0430,10750.0,100,21.299999999999955,78.35203655798381,low
XS_0431,10775.0,100,9.296965726538815,68.51808763867663,low
XS_0432,10800.0,100,20.40605755499587,79.98371312965352,low
XS_0433,10825.0,100,16.100000000000023,78.14499909831677,low
XS_0434,10850.0,100,18.899999999999977,79.34063194783114,low
XS_0435,10875.0,100,17.910000000000082,80.09728664901864,low
XS_0436,10900.0,100,12.616654112324113,75.48949425560303,low
XS_0437,10925.0,100,10.853628922525331,74.06851540567436,low
XS_0438,10950.0,100,5.173000000000002,56.33635838312412,low
XS_0439,10975.0,100,4.899999999999977,57.35409925504547,low
XS_0440,11000.0,100,6.899999999999977,58.62854769027042,low
XS_0441,11025.0,100,5.339999999999918,58.00266214387624,low
XS_0442,11050.0,100,5.439999999999941,57.02097852224878,low
XS_0443,11075.0,100,5.8599999999999,55.806238438146195,low
XS_0444,11100.0,100,5.904999999999973,56.073121259896254,low
XS_0445,11125.0,100,9.550000000000068,58.16121852626747,low
XS_0446,11150.0,100,8.319999999999936,55.9371740003105,low
XS_0447,11175.0,100,3.975999999999999,52.05289227265477,low
XS_0448,11200.0,100,3.9880000000000564,52.56180004890355,low
XS_0449,11225.0,100,11.32127333096355,61.61372383022449,low
XS_0450,11250.0,100,9.08936443373318,69.20733658512428,low
XS_0451,11275.0,100,5.899999999999977,58.266143598260825,low
XS_0452,11300.0,100,7.480000000000018,67.94611039750646,low
XS_0453,11325.0,100,10.799999999999955,71.63867775709808,low
XS_0454,11350.0,100,10.799999999999955,72.29091725446996,low
XS_0455,11375.0,100,11.0,73.18917682447852,low
XS_0456,11400.0,100,5.807999999999993,61.57248051523164,low
XS_0457,11425.0,100,14.948000000000093,74.86037565660789,low
XS_0458,11450.0,100,19.340000000000032,75.29290079806914,low
XS_0459,11475.0,100,21.490999999999985,74.76695741932765,low
XS_0460,11500.0,100,22.832831094577386,76.92842480520908,low
XS_0461,11525.0,100,22.47199999999998,81.95443196561422,low
XS_0462,11550.0,100,24.497999999999934,82.33561043717042,low
XS_0463,11575.0,100,25.700331083752076,82.68893072876216,low
XS_0464,11600.0,100,23.340168153529817,82.55424216532998,low
XS_0465,11625.0,100,19.600000000000136,79.77520600988386,low
XS_0466,11650.0,100,18.899999999999977,80.89109321871743,low
XS_0467,11675.0,100,19.26400000000001,81.02833027823696,low
XS_0468,11700.0,100,22.53670305798039,81.25700771457555,low
XS_0469,11725.0,100,21.63000000000011,75.05773409714418,low
XS_0470,11750.0,100,11.625000000000114,75.38976631938841,low
XS_0471,11775.0,100,12.030000000000086,75.86158579721884,low
XS_0472,11800.0,100,12.300000000000068,76.15988311527873,low
XS_0473,11825.0,100,10.500000000000114,70.11943495905373,low
XS_0474,11850.0,100,8.380000000000223,70.11943495898697,low
XS_0475,11875.0,100,8.830000000000041,71.0586674688728,low
XS_0476,11900.0,100,9.280000000000086,71.91600255996246,low
XS_0477,11925.0,100,6.2999999999999545,57.96742217236,low
XS_0478,11950.0,100,7.7000000000000455,68.51808763859532,low
XS_0479,11975.0,100,16.024,75.91105344676457,low
XS_0480,12000.0,100,16.878999999999905,76.71989964398615,low
XS_0481,12025.0,100,16.16678628182774,77.43500900851865,low
XS_0482,12050.0,100,16.93999999999994,78.09371107412586,low
XS_0483,12075.0,100,15.5,71.23634481423376,low
XS_0484,12100.0,100,18.200000000000045,71.91600256000548,low
XS_0485,12125.0,100,20.466854266050177,74.86037565664405,low
XS_0486,12150.0,100,20.541461789177333,77.16470469467724,low
XS_0487,12175.0,100,20.61999999999989,77.16470469467724,low
XS_0488,12200.0,100,14.0,77.16470469467724,low
XS_0489,12225.0,100,6.043000000000006,59.782854738160204,low
XS_0490,12250.0,100,8.899999999999977,66.19194038487663,low
XS_0491,12275.0,100,4.866000000000099,58.087400850772205,low
